,set1_country,set2_country,correlation,no. of points
0,United Kingdom,United Arab Emirates,0.878901663,180
1,United Kingdom,Turkey,0.965068824,182
2,United Kingdom,Switzerland,0.982445353,180
3,United Kingdom,Sweden,0.953170042,183
4,United Kingdom,Spain,0.957252712,150
5,United Kingdom,Slovenia,0.988199483,181
6,United Kingdom,Portugal,0.975473721,171
7,United Kingdom,Netherlands,0.975982205,183
8,United Kingdom,Mexico,0.889057981,93
9,United Kingdom,Lithuania,0.932123811,182
10,United Kingdom,Kuwait,0.879197421,177
11,United Kingdom,Ireland,0.991175994,183
12,United Kingdom,Hungary,0.969041097,176
13,United Kingdom,Germany,0.987882764,183
14,United Kingdom,France,0.984356365,183
15,United Kingdom,Finland,0.863863924,180
16,United Kingdom,Denmark,0.941941953,168
17,United Kingdom,Colombia,0.947153037,132
18,United Kingdom,Chile,0.888934175,183
19,United Kingdom,Bulgaria,0.919846503,183
20,United Kingdom,Belgium,0.985150121,183
21,United Kingdom,Austria,0.974572532,183
22,United Kingdom,Saudi Arabia,0.976262188,173
23,United Kingdom,Romania,0.979217705,183
24,United Kingdom,Paraguay,0.808708793,180
25,United Kingdom,Norway,0.930804977,178
26,United Kingdom,Israel,0.957382399,180
27,United Kingdom,Greece,0.8671564,60
28,United Kingdom,Estonia,0.950120519,156
29,United Kingdom,Czech Republic,0.985769162,169
30,United Kingdom,Uruguay,0.955503133,183
31,United Kingdom,Ukraine,0.881150188,183
32,United Kingdom,Tunisia,0.763982793,182
33,United Kingdom,Taiwan,0.981225533,156
34,United Kingdom,South Korea,0.978248901,181
35,United Kingdom,South Africa,0.979196947,183
36,United Kingdom,Slovakia,0.961928841,156
37,United Kingdom,Singapore,0.858976098,136
38,United Kingdom,Puerto Rico,0.912006166,178
39,United Kingdom,New Zealand,0.967643189,183
40,United Kingdom,Malaysia,0.919751284,160
41,United Kingdom,Latvia,0.912569712,183
42,United Kingdom,Japan,0.927808529,156
43,United Kingdom,Italy,0.961925707,126
44,United Kingdom,Croatia,0.364380671,178
45,United Kingdom,Canada,0.981554151,183
46,United Kingdom,Brazil,0.983214588,183
47,United Kingdom,Australia,0.988968771,183
48,United Kingdom,Argentina,0.977009806,171
49,United Kingdom,Lebanon,0.713953035,172
50,United Kingdom,Jordan,0.740468119,179
51,United Kingdom,China,0.658144228,181
52,United Arab Emirates,Turkey,0.932311339,181
53,United Arab Emirates,Switzerland,0.878581834,183
54,United Arab Emirates,Sweden,0.872394449,180
55,United Arab Emirates,Spain,0.894613404,153
56,United Arab Emirates,Slovenia,0.89676682,182
57,United Arab Emirates,Portugal,0.897140755,174
58,United Arab Emirates,Netherlands,0.814408829,180
59,United Arab Emirates,Mexico,0.744628717,96
60,United Arab Emirates,Lithuania,0.938697647,181
61,United Arab Emirates,Kuwait,0.979098936,180
62,United Arab Emirates,Ireland,0.902057511,180
63,United Arab Emirates,Hungary,0.83253788,179
64,United Arab Emirates,Germany,0.922609271,180
65,United Arab Emirates,France,0.893046542,180
66,United Arab Emirates,Finland,0.742551949,183
67,United Arab Emirates,Denmark,0.835762993,171
68,United Arab Emirates,Colombia,0.886077487,135
69,United Arab Emirates,Chile,0.872327618,180
70,United Arab Emirates,Bulgaria,0.957983967,180
71,United Arab Emirates,Belgium,0.859569361,180
72,United Arab Emirates,Austria,0.906441452,180
73,United Arab Emirates,Saudi Arabia,0.947077944,176
74,United Arab Emirates,Romania,0.896429061,180
75,United Arab Emirates,Paraguay,0.854881974,183
76,United Arab Emirates,Norway,0.834483382,181
77,United Arab Emirates,Israel,0.847471259,183
78,United Arab Emirates,Greece,0.965675694,63
79,United Arab Emirates,Estonia,0.934356617,159
80,United Arab Emirates,Czech Republic,0.882306494,172
81,United Arab Emirates,Uruguay,0.949552202,180
82,United Arab Emirates,Ukraine,0.935761719,180
83,United Arab Emirates,Tunisia,0.784094058,181
84,United Arab Emirates,Taiwan,0.940398929,159
85,United Arab Emirates,South Korea,0.936276476,182
86,United Arab Emirates,South Africa,0.875568511,180
87,United Arab Emirates,Slovakia,0.933998577,159
88,United Arab Emirates,Singapore,0.865520133,139
89,United Arab Emirates,Puerto Rico,0.747409572,181
90,United Arab Emirates,New Zealand,0.940980492,180
91,United Arab Emirates,Malaysia,0.805554197,163
92,United Arab Emirates,Latvia,0.945244759,180
93,United Arab Emirates,Japan,0.826194441,159
94,United Arab Emirates,Italy,0.953360856,129
95,United Arab Emirates,Croatia,0.227804186,181
96,United Arab Emirates,Canada,0.852129763,180
97,United Arab Emirates,Brazil,0.926503135,180
98,United Arab Emirates,Australia,0.8857238,180
99,United Arab Emirates,Argentina,0.860636386,174
100,United Arab Emirates,Lebanon,0.727854995,175
101,United Arab Emirates,Jordan,0.770794652,182
102,United Arab Emirates,China,0.601875714,182
103,Turkey,Switzerland,0.955929125,181
104,Turkey,Sweden,0.972594095,182
105,Turkey,Spain,0.924193618,151
106,Turkey,Slovenia,0.960327154,182
107,Turkey,Portugal,0.964942562,172
108,Turkey,Netherlands,0.930587299,182
109,Turkey,Mexico,0.942515326,94
110,Turkey,Lithuania,0.982225434,183
111,Turkey,Kuwait,0.928743479,178
112,Turkey,Ireland,0.980794571,182
113,Turkey,Hungary,0.935402588,177
114,Turkey,Germany,0.98551965,182
115,Turkey,France,0.96464099,182
116,Turkey,Finland,0.842069052,181
117,Turkey,Denmark,0.932497874,169
118,Turkey,Colombia,0.971223146,133
119,Turkey,Chile,0.957981689,182
120,Turkey,Bulgaria,0.9754048,182
121,Turkey,Belgium,0.956020204,182
122,Turkey,Austria,0.97706572,182
123,Turkey,Saudi Arabia,0.980600586,174
124,Turkey,Romania,0.951490951,182
125,Turkey,Paraguay,0.908559888,181
126,Turkey,Norway,0.943670765,179
127,Turkey,Israel,0.943622625,181
128,Turkey,Greece,0.980102576,61
129,Turkey,Estonia,0.965430538,157
130,Turkey,Czech Republic,0.939773848,170
131,Turkey,Uruguay,0.982410864,182
132,Turkey,Ukraine,0.960943065,182
133,Turkey,Tunisia,0.85900053,183
134,Turkey,Taiwan,0.974149027,157
135,Turkey,South Korea,0.989635247,182
136,Turkey,South Africa,0.95836118,182
137,Turkey,Slovakia,0.995194655,157
138,Turkey,Singapore,0.888789671,137
139,Turkey,Puerto Rico,0.836067528,179
140,Turkey,New Zealand,0.985152601,182
141,Turkey,Malaysia,0.865747268,161
142,Turkey,Latvia,0.97906735,182
143,Turkey,Japan,0.862124165,157
144,Turkey,Italy,0.960918254,127
145,Turkey,Croatia,0.378072041,179
146,Turkey,Canada,0.935252594,182
147,Turkey,Brazil,0.973079491,182
148,Turkey,Australia,0.962164651,182
149,Turkey,Argentina,0.926410668,172
150,Turkey,Lebanon,0.820237842,173
151,Turkey,Jordan,0.848711853,180
152,Turkey,China,0.643781806,182
153,Switzerland,Sweden,0.948010219,180
154,Switzerland,Spain,0.945661408,153
155,Switzerland,Slovenia,0.978652702,182
156,Switzerland,Portugal,0.956316592,174
157,Switzerland,Netherlands,0.970241567,180
158,Switzerland,Mexico,0.845975648,96
159,Switzerland,Lithuania,0.929711098,181
160,Switzerland,Kuwait,0.878281975,180
161,Switzerland,Ireland,0.983934949,180
162,Switzerland,Hungary,0.957208136,179
163,Switzerland,Germany,0.980467942,180
164,Switzerland,France,0.974264086,180
165,Switzerland,Finland,0.881325614,183
166,Switzerland,Denmark,0.934324091,171
167,Switzerland,Colombia,0.924692396,135
168,Switzerland,Chile,0.875761654,180
169,Switzerland,Bulgaria,0.912135685,180
170,Switzerland,Belgium,0.98248816,180
171,Switzerland,Austria,0.96862208,180
172,Switzerland,Saudi Arabia,0.963586872,176
173,Switzerland,Romania,0.968427791,180
174,Switzerland,Paraguay,0.7993348,183
175,Switzerland,Norway,0.924334799,181
176,Switzerland,Israel,0.947557956,183
177,Switzerland,Greece,0.789224633,63
178,Switzerland,Estonia,0.93614322,159
179,Switzerland,Czech Republic,0.971831297,172
180,Switzerland,Uruguay,0.943144932,180
181,Switzerland,Ukraine,0.875157327,180
182,Switzerland,Tunisia,0.751701139,181
183,Switzerland,Taiwan,0.969186515,159
184,Switzerland,South Korea,0.967654248,182
185,Switzerland,South Africa,0.97050898,180
186,Switzerland,Slovakia,0.954165831,159
187,Switzerland,Singapore,0.859656507,139
188,Switzerland,Puerto Rico,0.910476804,181
189,Switzerland,New Zealand,0.95371166,180
190,Switzerland,Malaysia,0.899468628,163
191,Switzerland,Latvia,0.905671901,180
192,Switzerland,Japan,0.906398599,159
193,Switzerland,Italy,0.953598811,129
194,Switzerland,Croatia,0.387442895,181
195,Switzerland,Canada,0.977265545,180
196,Switzerland,Brazil,0.970801557,180
197,Switzerland,Australia,0.980966968,180
198,Switzerland,Argentina,0.966362187,174
199,Switzerland,Lebanon,0.704427233,175
200,Switzerland,Jordan,0.732711676,182
201,Switzerland,China,0.62432025,182
202,Sweden,Spain,0.866242842,150
203,Sweden,Slovenia,0.935306441,181
204,Sweden,Portugal,0.951491794,171
205,Sweden,Netherlands,0.941370981,183
206,Sweden,Mexico,0.9599536,93
207,Sweden,Lithuania,0.962164349,182
208,Sweden,Kuwait,0.864526189,177
209,Sweden,Ireland,0.967172149,183
210,Sweden,Hungary,0.934757051,176
211,Sweden,Germany,0.967252122,183
212,Sweden,France,0.956429254,183
213,Sweden,Finland,0.878901127,180
214,Sweden,Denmark,0.945647903,168
215,Sweden,Colombia,0.963009602,132
216,Sweden,Chile,0.953485698,183
217,Sweden,Bulgaria,0.926054454,183
218,Sweden,Belgium,0.962542397,183
219,Sweden,Austria,0.974839837,183
220,Sweden,Saudi Arabia,0.939884736,173
221,Sweden,Romania,0.92283321,183
222,Sweden,Paraguay,0.861807014,180
223,Sweden,Norway,0.963949085,178
224,Sweden,Israel,0.932131299,180
225,Sweden,Greece,0.946008666,60
226,Sweden,Estonia,0.916844026,156
227,Sweden,Czech Republic,0.911436091,169
228,Sweden,Uruguay,0.947841501,183
229,Sweden,Ukraine,0.929929667,183
230,Sweden,Tunisia,0.831913292,182
231,Sweden,Taiwan,0.930558092,156
232,Sweden,South Korea,0.965678587,181
233,Sweden,South Africa,0.944104727,183
234,Sweden,Slovakia,0.961443988,156
235,Sweden,Singapore,0.861754247,136
236,Sweden,Puerto Rico,0.847450841,178
237,Sweden,New Zealand,0.959674257,183
238,Sweden,Malaysia,0.84617606,160
239,Sweden,Latvia,0.942828247,183
240,Sweden,Japan,0.822815873,156
241,Sweden,Italy,0.887319289,126
242,Sweden,Croatia,0.46614573,178
243,Sweden,Canada,0.93252926,183
244,Sweden,Brazil,0.940697172,183
245,Sweden,Australia,0.9564754,183
246,Sweden,Argentina,0.909843803,171
247,Sweden,Lebanon,0.814884789,172
248,Sweden,Jordan,0.82209177,179
249,Sweden,China,0.67815131,181
250,Spain,Slovenia,0.970875211,152
251,Spain,Portugal,0.955391586,162
252,Spain,Netherlands,0.948270817,150
253,Spain,Mexico,0.848755689,126
254,Spain,Lithuania,0.909391702,151
255,Spain,Kuwait,0.890754642,156
256,Spain,Ireland,0.953393177,150
257,Spain,Hungary,0.931234074,157
258,Spain,Germany,0.943280176,150
259,Spain,France,0.955477837,150
260,Spain,Finland,0.736811193,153
261,Spain,Denmark,0.872125049,165
262,Spain,Colombia,0.91146654,165
263,Spain,Chile,0.830033144,150
264,Spain,Bulgaria,0.920462524,150
265,Spain,Belgium,0.942731594,150
266,Spain,Austria,0.93018421,150
267,Spain,Saudi Arabia,0.971573611,160
268,Spain,Romania,0.975378048,150
269,Spain,Paraguay,0.787257536,153
270,Spain,Norway,0.835456501,155
271,Spain,Israel,0.889536591,153
272,Spain,Greece,0.736525428,93
273,Spain,Estonia,0.951296228,177
274,Spain,Czech Republic,0.976377759,164
275,Spain,Uruguay,0.951229727,150
276,Spain,Ukraine,0.878669532,150
277,Spain,Tunisia,0.731710789,151
278,Spain,Taiwan,0.97679197,177
279,Spain,South Korea,0.957496442,152
280,Spain,South Africa,0.92639062,150
281,Spain,Slovakia,0.932729116,177
282,Spain,Singapore,0.882576481,169
283,Spain,Puerto Rico,0.864165414,155
284,Spain,New Zealand,0.955866075,150
285,Spain,Malaysia,0.914443392,173
286,Spain,Latvia,0.89467027,150
287,Spain,Japan,0.948714436,177
288,Spain,Italy,0.950737136,159
289,Spain,Croatia,0.247060987,155
290,Spain,Canada,0.964161614,150
291,Spain,Brazil,0.977557895,150
292,Spain,Australia,0.958358952,150
293,Spain,Argentina,0.969762614,162
294,Spain,Lebanon,0.695231068,161
295,Spain,Jordan,0.711080573,154
296,Spain,China,0.590700666,152
297,Slovenia,Portugal,0.96093469,173
298,Slovenia,Netherlands,0.970268733,181
299,Slovenia,Mexico,0.768908701,95
300,Slovenia,Lithuania,0.938499525,182
301,Slovenia,Kuwait,0.889936469,179
302,Slovenia,Ireland,0.986378792,181
303,Slovenia,Hungary,0.957651958,178
304,Slovenia,Germany,0.985438391,181
305,Slovenia,France,0.985008402,181
306,Slovenia,Finland,0.842521006,182
307,Slovenia,Denmark,0.927642697,170
308,Slovenia,Colombia,0.905827987,134
309,Slovenia,Chile,0.868532165,181
310,Slovenia,Bulgaria,0.930146909,181
311,Slovenia,Belgium,0.97839481,181
312,Slovenia,Austria,0.971232119,181
313,Slovenia,Saudi Arabia,0.97553981,175
314,Slovenia,Romania,0.991491687,181
315,Slovenia,Paraguay,0.782536115,182
316,Slovenia,Norway,0.899109226,180
317,Slovenia,Israel,0.939836587,182
318,Slovenia,Greece,0.61742797,62
319,Slovenia,Estonia,0.948774844,158
320,Slovenia,Czech Republic,0.987448612,171
321,Slovenia,Uruguay,0.961445429,181
322,Slovenia,Ukraine,0.880061093,181
323,Slovenia,Tunisia,0.740771457,182
324,Slovenia,Taiwan,0.97739047,158
325,Slovenia,South Korea,0.972599951,183
326,Slovenia,South Africa,0.971699673,181
327,Slovenia,Slovakia,0.937862004,158
328,Slovenia,Singapore,0.861893832,138
329,Slovenia,Puerto Rico,0.918793472,180
330,Slovenia,New Zealand,0.972014982,181
331,Slovenia,Malaysia,0.911859375,162
332,Slovenia,Latvia,0.912020524,181
333,Slovenia,Japan,0.942688625,158
334,Slovenia,Italy,0.972022589,128
335,Slovenia,Croatia,0.341178463,180
336,Slovenia,Canada,0.980336676,181
337,Slovenia,Brazil,0.992249303,181
338,Slovenia,Australia,0.98882829,181
339,Slovenia,Argentina,0.97785139,173
340,Slovenia,Lebanon,0.65044545,174
341,Slovenia,Jordan,0.707049932,181
342,Slovenia,China,0.608324362,183
343,Portugal,Netherlands,0.966530279,171
344,Portugal,Mexico,0.985785682,105
345,Portugal,Lithuania,0.954958232,172
346,Portugal,Kuwait,0.882823769,177
347,Portugal,Ireland,0.975705732,171
348,Portugal,Hungary,0.965378061,178
349,Portugal,Germany,0.971714634,171
350,Portugal,France,0.973522619,171
351,Portugal,Finland,0.810359012,174
352,Portugal,Denmark,0.94504179,180
353,Portugal,Colombia,0.975355579,144
354,Portugal,Chile,0.918357847,171
355,Portugal,Bulgaria,0.92783862,171
356,Portugal,Belgium,0.969462632,171
357,Portugal,Austria,0.971525088,171
358,Portugal,Saudi Arabia,0.978178054,181
359,Portugal,Romania,0.970586083,171
360,Portugal,Paraguay,0.815875858,174
361,Portugal,Norway,0.942996811,176
362,Portugal,Israel,0.934620355,174
363,Portugal,Greece,0.976086469,72
364,Portugal,Estonia,0.947696448,168
365,Portugal,Czech Republic,0.960867569,181
366,Portugal,Uruguay,0.970855676,171
367,Portugal,Ukraine,0.919514359,171
368,Portugal,Tunisia,0.758188123,172
369,Portugal,Taiwan,0.980544983,168
370,Portugal,South Korea,0.983018308,173
371,Portugal,South Africa,0.953503324,171
372,Portugal,Slovakia,0.961030095,168
373,Portugal,Singapore,0.918286569,148
374,Portugal,Puerto Rico,0.87513895,176
375,Portugal,New Zealand,0.975062639,171
376,Portugal,Malaysia,0.922055848,172
377,Portugal,Latvia,0.925880482,171
378,Portugal,Japan,0.92750082,168
379,Portugal,Italy,0.947674618,138
380,Portugal,Croatia,0.487987904,176
381,Portugal,Canada,0.950059628,171
382,Portugal,Brazil,0.978671807,171
383,Portugal,Australia,0.97275802,171
384,Portugal,Argentina,0.966009635,183
385,Portugal,Lebanon,0.776899111,182
386,Portugal,Jordan,0.7599549,175
387,Portugal,China,0.703163998,173
388,Netherlands,Mexico,0.972376907,93
389,Netherlands,Lithuania,0.905422083,182
390,Netherlands,Kuwait,0.801591381,177
391,Netherlands,Ireland,0.971016951,183
392,Netherlands,Hungary,0.9767758,176
393,Netherlands,Germany,0.962017104,183
394,Netherlands,France,0.965598557,183
395,Netherlands,Finland,0.861471945,180
396,Netherlands,Denmark,0.963336968,168
397,Netherlands,Colombia,0.982268342,132
398,Netherlands,Chile,0.862642174,183
399,Netherlands,Bulgaria,0.859591524,183
400,Netherlands,Belgium,0.987598658,183
401,Netherlands,Austria,0.959784577,183
402,Netherlands,Saudi Arabia,0.937939944,173
403,Netherlands,Romania,0.95851572,183
404,Netherlands,Paraguay,0.730861051,180
405,Netherlands,Norway,0.942492151,178
406,Netherlands,Israel,0.937845821,180
407,Netherlands,Greece,0.967690571,60
408,Netherlands,Estonia,0.912520115,156
409,Netherlands,Czech Republic,0.970105347,169
410,Netherlands,Uruguay,0.910682961,183
411,Netherlands,Ukraine,0.829257635,183
412,Netherlands,Tunisia,0.694557563,182
413,Netherlands,Taiwan,0.953525939,156
414,Netherlands,South Korea,0.951217869,181
415,Netherlands,South Africa,0.956276738,183
416,Netherlands,Slovakia,0.923871359,156
417,Netherlands,Singapore,0.89075891,136
418,Netherlands,Puerto Rico,0.935748905,178
419,Netherlands,New Zealand,0.92755786,183
420,Netherlands,Malaysia,0.922275122,160
421,Netherlands,Latvia,0.856763745,183
422,Netherlands,Japan,0.931898156,156
423,Netherlands,Italy,0.929619259,126
424,Netherlands,Croatia,0.486239489,178
425,Netherlands,Canada,0.975752861,183
426,Netherlands,Brazil,0.950470711,183
427,Netherlands,Australia,0.974886263,183
428,Netherlands,Argentina,0.978373734,171
429,Netherlands,Lebanon,0.652424375,172
430,Netherlands,Jordan,0.668210934,179
431,Netherlands,China,0.681148104,181
432,Mexico,Lithuania,0.943076753,94
433,Mexico,Kuwait,0.699962267,99
434,Mexico,Ireland,0.9288984,93
435,Mexico,Hungary,0.913761401,100
436,Mexico,Germany,0.914031276,93
437,Mexico,France,0.86335897,93
438,Mexico,Finland,0.577172752,96
439,Mexico,Denmark,0.737531699,108
440,Mexico,Colombia,0.937375026,144
441,Mexico,Chile,0.993681471,93
442,Mexico,Bulgaria,0.847312149,93
443,Mexico,Belgium,0.934371361,93
