date,United Kingdom,United Arab Emirates,Turkey,Switzerland,Sweden,Spain,Slovenia,Portugal,Netherlands,Mexico,Lithuania,Kuwait,Ireland,Hungary,Germany,France,Finland,Denmark,Colombia,Chile,Bulgaria,Belgium,Austria,Saudi Arabia,Romania,Paraguay,Norway,Israel,Greece,Estonia,Czech Republic,Uruguay,Ukraine,Tunisia,Taiwan,South Korea,South Africa,Slovakia,Singapore,Puerto Rico,New Zealand,Malaysia,Latvia,Japan,Italy,Croatia,Canada,Brazil,Australia,Argentina,Lebanon,Jordan,China
01-01-2015,0.493812961,-0.620830357,-0.518418313,0.454150083,1.392488945,0.552996053,0.196110796,-0.16262086,1.359229257,-0.751065537,-0.461251379,-0.117217126,1.797661527,-0.222103995,0.361792443,0.796590678,0.320452382,0.92193626,-0.623295978,-0.795038118,-0.45556521,1.401031586,0.722741146,-0.535617298,-0.358258213,-0.83402421,1.634120525,0.281835507,0.295451563,-0.314553454,-0.227111592,-0.745093635,-0.865279665,-0.870204171,-0.526983228,-0.554444445,-0.829500436,0.034225058,-0.801387216,0.324884139,0.159807521,-0.858445799,-0.611360044,-0.146736889,0.013750971,-0.870204171,1.259720626,-0.533246986,0.179015625,-0.614376414,-0.870204171,-0.870204171,-0.869979256
01-02-2015,0.519804371,-0.589276217,-0.515071337,0.463796542,1.200369608,0.38776988,0.233461158,-0.129116279,1.3785026,-0.722912351,-0.428026661,-0.075899032,1.836681816,-0.187685291,0.371792924,0.604414934,0.374370116,0.952703615,-0.591518602,-0.754038679,-0.422833172,1.247944095,0.702661531,-0.501128432,-0.322955893,-0.802502175,1.367211989,0.263437396,0.326874559,-0.284106527,-0.190389987,-0.71150619,-0.834310099,-0.839302489,-0.493061425,-0.521286245,-0.79821689,0.077492973,-0.770492542,0.231666569,0.155992313,-0.830396103,-0.577429297,-0.122909879,0.041186901,-0.839302489,1.151566532,-0.500035189,0.238215894,-0.611621989,-0.839302489,-0.839302489,-0.839191836
01-03-2015,0.40366366,-0.664404328,-0.555889508,0.61701376,1.422390113,0.475962671,0.169034641,-0.202148963,1.302904749,-0.781281312,-0.503592936,-0.143950868,1.76767662,-0.235755668,0.293386854,0.700612159,1.0098809,0.876441161,-0.667004071,-0.835289157,-0.475097108,1.369565482,0.784863815,-0.574432958,-0.400712932,-0.878492002,1.978382611,0.293189366,0.250870545,-0.373553187,-0.267483764,-0.784809524,-0.911197175,-0.916091785,-0.56741097,-0.596376791,-0.874653965,0.011146233,-0.847399216,0.333851489,0.172077718,-0.900236276,-0.653777815,-0.023414158,0.008027217,-0.916091785,1.349750389,-0.574217979,0.275760276,-0.65787038,-0.916091785,-0.916091785,-0.915999422
01-04-2015,0.435871042,-0.634792656,-0.514696855,0.584164676,1.304558062,0.373337534,0.203764953,-0.168947434,1.358001432,-0.77102559,-0.475638408,-0.10543344,1.823533414,-0.199957954,0.325889061,0.827020158,0.740504836,0.906895139,-0.637402078,-0.803324516,-0.423175107,1.395895219,0.734081452,-0.543583165,-0.369450436,-0.848869907,1.421963738,0.26427067,0.276260182,-0.331829892,-0.230940028,-0.754162626,-0.882708343,-0.88747303,-0.535525415,-0.56521324,-0.845673869,0.049416413,-0.815045379,0.209322647,0.216640636,-0.876455062,-0.625604963,-0.057585434,0.042447002,-0.88747303,1.269417286,-0.541175498,0.304412384,-0.622217713,-0.88747303,-0.88747303,-0.887232928
01-05-2015,0.470934653,-0.641847661,-0.512976293,0.479713826,1.347495986,0.44763029,0.204531671,-0.18125994,1.345462917,-0.781479588,-0.483591326,-0.104830903,1.841271023,-0.200666055,0.340799098,0.624039274,0.930265809,0.903003114,-0.645047768,-0.786946499,-0.43025567,1.256787036,0.712032057,-0.549268482,-0.374487448,-0.856914577,1.623708631,0.252568792,0.264956869,-0.324067619,-0.231236694,-0.761059767,-0.891160103,-0.895953112,-0.541180944,-0.572085772,-0.853873648,0.057023264,-0.823495679,0.263681497,0.230472175,-0.881052444,-0.629256992,-0.134208294,0.037006953,-0.895953112,1.360124033,-0.546926573,0.285541253,-0.644139271,-0.895953112,-0.895953112,-0.895734213
01-06-2015,0.466123432,-0.684658685,-0.556533266,0.668330301,1.490358162,0.516848187,0.174455362,-0.221406438,1.318702719,-0.813758741,-0.528437393,-0.141176719,1.821484334,-0.241062249,0.297814806,0.734654053,1.046061348,0.861753062,-0.688434957,-0.854490294,-0.444834114,1.479463779,0.871045753,-0.591952221,-0.4161383,-0.900973543,1.978152205,0.255759317,0.217308797,-0.369022337,-0.268384249,-0.803584443,-0.935962203,-0.940718348,-0.582069443,-0.61817067,-0.898168087,0.024991375,-0.868171567,0.28396166,0.184471304,-0.927002712,-0.675431691,-0.085895284,0.000623602,-0.940718348,1.352065116,-0.590999332,0.275372444,-0.672639451,-0.940718348,-0.940718348,-0.940442729
01-07-2015,0.511374241,-0.681582753,-0.583337046,0.562535712,1.369484066,0.575951063,0.184390415,-0.214070028,1.349852082,-0.817311682,-0.524298634,-0.131387903,1.840695997,-0.234975916,0.357354282,0.88845246,0.82052488,0.859712042,-0.683973832,-0.849616179,-0.423862488,1.52611225,0.908776629,-0.587350197,-0.408001618,-0.897017944,1.607562475,0.336018143,0.217404001,-0.367661321,-0.259493296,-0.797607538,-0.933132159,-0.937886956,-0.576258902,-0.615063916,-0.894816433,0.034752043,-0.856286281,0.304861044,0.239873562,-0.922924882,-0.672764309,-0.094577764,-0.016119385,-0.937886956,1.393427117,-0.582916485,0.327666061,-0.652746867,-0.937886956,-0.937886956,-0.937624806
01-08-2015,0.542211142,-0.659920472,-0.545745456,0.541380554,1.379511142,0.30065673,0.207187493,-0.188767985,1.387779428,-0.801886619,-0.508719528,-0.104024914,1.875647838,-0.212602028,0.367463761,0.573796245,1.065111002,0.882282257,-0.662104389,-0.827078244,-0.391132924,1.276230889,0.685888506,-0.56413394,-0.38453276,-0.874858695,1.705857273,0.308274541,0.234701627,-0.347326897,-0.231569733,-0.773024436,-0.912525534,-0.91736305,-0.550637116,-0.591102392,-0.873876809,0.064396894,-0.835294614,0.30740146,0.206391053,-0.904872633,-0.634588795,-0.057878517,-0.011471715,-0.91736305,1.385373562,-0.557412398,0.277385537,-0.650718476,-0.91736305,-0.91736305,-0.917120914
01-09-2015,0.538013612,-0.684974843,-0.587429971,0.595617764,1.485771199,0.477947099,0.189715367,-0.204714932,1.359385197,-0.832895334,-0.534665668,-0.12174773,1.87849315,-0.236603143,0.342065822,0.736174383,1.083301117,0.894183435,-0.687901341,-0.852138962,-0.39410978,1.407972567,0.824546938,-0.588132449,-0.413419745,-0.900948247,1.749071237,0.252319871,0.214694891,-0.373806134,-0.255301619,-0.792652218,-0.939639567,-0.944486524,-0.572781402,-0.613357618,-0.90043038,0.046023581,-0.862381297,0.285736254,0.214990418,-0.9286622,-0.650513441,-0.138510102,-0.007070163,-0.944486524,1.408675745,-0.580669129,0.283147664,-0.668105312,-0.944486524,-0.944486524,-0.944284585
01-10-2015,0.528411331,-0.682562093,-0.550413676,0.545797679,1.486392621,0.456477514,0.200826975,-0.19589488,1.382233792,-0.824599423,-0.53308266,-0.108304812,1.910968619,-0.232954872,0.319054115,0.75820772,0.777677723,0.912237489,-0.685368305,-0.882620216,-0.391600151,1.488006382,0.841275184,-0.583977612,-0.429842295,-0.898930634,1.677944071,0.307407679,0.216262719,-0.372584308,-0.232014042,-0.785626259,-0.93883435,-0.943469339,-0.572577326,-0.608368334,-0.898750852,0.056980376,-0.872455483,0.272475563,0.217468673,-0.923721806,-0.632721077,-0.090072597,-0.007513083,-0.943469339,1.451407403,-0.575798625,0.319641094,-0.672666096,-0.943469339,-0.943469339,-0.943298856
01-11-2015,0.544459679,-0.67442695,-0.536529852,0.551114727,1.394320664,0.399376548,0.214392546,-0.182269608,1.407818631,-0.81557175,-0.527226533,-0.089313508,1.950785842,-0.225059931,0.368156598,0.683985487,0.85718742,0.934021834,-0.677354265,-0.847284545,-0.382948038,1.331039555,0.740744682,-0.574823635,-0.421296564,-0.891093037,1.743372233,0.34154966,0.226825987,-0.36494485,-0.221673867,-0.776393198,-0.932333424,-0.937012245,-0.56057039,-0.599017691,-0.892053799,0.069498521,-0.866089489,0.149092239,0.256854069,-0.919802919,-0.625587441,-0.141703752,-0.01484961,-0.937012245,1.46835859,-0.56825167,0.316234297,-0.683891081,-0.937012245,-0.937012245,-0.936828412
01-12-2015,0.472775916,-0.744714957,-0.586245611,0.610689702,1.491975251,0.373490174,0.150677364,-0.245879407,1.352141534,-0.887034841,-0.585303622,-0.149860512,1.923359929,-0.294553849,0.337418306,0.712690257,2.159644818,0.879448029,-0.748006597,-0.917470477,-0.434596768,1.538393697,0.835633154,-0.644330524,-0.490348107,-0.961757154,1.826226525,0.266257147,0.15576858,-0.40506557,-0.283958839,-0.84556996,-1.004132881,-1.008799113,-0.628668487,-0.66800358,-0.963015546,0.016461997,-0.937955193,0.225482938,0.368377232,-0.994840105,-0.691054788,-0.060505734,-0.077652849,-1.008799113,1.541402829,-0.639524763,0.402430347,-0.742064638,-1.008799113,-1.008799113,-1.008630368
01-01-2016,0.580184012,-0.61026242,-0.485784705,0.632759047,1.506085969,0.524257496,0.285289953,-0.100702404,1.484025792,-0.775261776,-0.436506284,-0.011709467,2.060738092,-0.158382577,0.43722826,0.838388457,0.407191066,0.984479333,-0.614501509,-0.780534974,-0.27433259,1.381984542,0.775275031,-0.507614296,-0.343823077,-0.825782317,1.589606767,0.401068853,0.289006971,-0.271189511,-0.147672187,-0.708365524,-0.868801694,-0.822967072,-0.491488587,-0.543749846,-0.825960266,0.166483976,-0.792045812,0.182308442,0.239058675,-0.858557637,-0.548163257,-0.137381567,-0.028846976,-0.874210604,1.481449208,-0.503400651,0.282015931,-0.616099129,-0.714819117,-0.850166686,-0.874011958
01-02-2016,0.568350404,-0.629012759,-0.48043581,0.496303398,1.438961018,0.431436832,0.27515469,-0.109893212,1.470742155,-0.780673356,-0.447751924,-0.026307329,2.05392948,-0.171201344,0.406924476,0.763382701,0.479373149,0.973004261,-0.635240912,-0.799102418,-0.283208241,1.355931603,0.792699868,-0.524915416,-0.359586106,-0.84695264,2.299656573,0.361773955,0.285504031,-0.306571084,-0.162460211,-0.725514925,-0.888723809,-0.842547584,-0.508479156,-0.562339125,-0.845607522,0.167433926,-0.812042556,0.298583633,0.306296503,-0.878534858,-0.56285848,-0.126058547,-0.03775249,-0.894266913,1.481944409,-0.524249228,0.321240181,-0.640784324,-0.745933628,-0.869770301,-0.89411795
01-03-2016,0.538583525,-0.651195364,-0.488161774,0.723730618,1.543227057,0.50390078,0.260961384,-0.122599697,1.429128762,-0.798820485,-0.472294128,-0.043726068,2.039741883,-0.187870311,0.361793938,0.856282696,1.06327089,0.959568344,-0.659654623,-0.819288279,-0.28564423,1.474781416,0.769243057,-0.544680605,-0.37548232,-0.870890994,1.669862449,0.351581557,0.267997411,-0.323875384,-0.177596493,-0.745945073,-0.912100521,-0.865636566,-0.52835206,-0.583248184,-0.868573181,0.155368173,-0.835383229,0.324694295,0.36683739,-0.902043076,-0.58271382,-0.081586758,-0.012237538,-0.917740731,1.552935663,-0.544597039,0.27856452,-0.647068812,-0.751350067,-0.8919218,-0.917517328
01-04-2016,0.565817909,-0.648154098,-0.501595482,0.60192801,1.541724021,0.47478014,0.269688894,-0.109881835,1.431540661,-0.803136293,-0.469839311,-0.032959906,2.0571402,-0.179302173,0.412871098,0.814452988,0.823542548,0.96781524,-0.659310743,-0.813450555,-0.282657498,1.427795184,0.826186017,-0.540168333,-0.372708126,-0.868529126,1.727744163,0.35954474,0.273376203,-0.314345187,-0.170935173,-0.743544891,-0.910815274,-0.863960189,-0.527924316,-0.579512048,-0.866781726,0.172313453,-0.824775006,0.235883735,0.336512826,-0.898334854,-0.57730152,0.021402217,-0.013031579,-0.91644919,1.524448342,-0.54118616,0.448851962,-0.650214291,-0.744797045,-0.889978297,-0.916229517
01-05-2016,0.545438304,-0.662081339,-0.512364469,0.70054338,1.608769689,0.470905228,0.254612833,-0.115767212,1.422268279,-0.817521394,-0.488187812,-0.041170614,2.05868022,-0.189686935,0.404843226,0.851240583,0.975553071,0.957084001,-0.677608249,-0.829451274,-0.298798893,1.484099072,0.819398221,-0.553774466,-0.385753779,-0.884971216,1.861037419,0.349422799,0.257187626,-0.319180116,-0.19663744,-0.761076231,-0.928220773,-0.88099913,-0.542122258,-0.594648777,-0.883922121,0.169045876,-0.842444777,0.257107313,0.371388816,-0.91577902,-0.578781874,-0.104824658,-0.031232572,-0.9339718,1.630766204,-0.55516748,0.392611649,-0.653953346,-0.755276486,-0.906858142,-0.933740952
01-06-2016,0.479190204,-0.677335917,-0.494822329,0.694103575,1.679047751,0.573672973,0.243501186,-0.11975214,1.411275698,-0.835596949,-0.505582182,-0.051487653,2.077103812,-0.190931779,0.410493406,0.83757768,1.184165006,0.947037586,-0.695630998,-0.850754931,-0.30439631,1.502428751,0.906654887,-0.567194479,-0.401174846,-0.900769905,1.981714267,0.354368242,0.240478674,-0.337746348,-0.209109111,-0.774370783,-0.944600545,-0.897870201,-0.556396375,-0.610011118,-0.900648259,0.166625815,-0.85974378,0.310544762,0.317382588,-0.932816507,-0.596374233,-0.106019663,-0.064827654,-0.951113131,1.630054919,-0.566912384,0.334654963,-0.695041843,-0.759657113,-0.923616266,-0.950884141
01-07-2016,0.45697328,-0.643494374,-0.528044967,0.606416636,1.454981353,0.524408155,0.282092074,-0.073877893,1.446785856,-0.803737433,-0.475912569,-0.01263411,2.136892785,-0.151907893,0.453958423,0.879312964,0.925561985,0.990820317,-0.663985693,-0.816825044,-0.261830363,1.423282595,0.862705154,-0.529578229,-0.359827804,-0.867381194,1.479766388,0.390911114,0.272593938,-0.302157232,-0.172187418,-0.740032974,-0.911336321,-0.864891194,-0.52226694,-0.575290897,-0.86785234,0.214591231,-0.836003383,0.245417804,0.344908318,-0.902495498,-0.552942752,-0.056598622,-0.068423565,-0.918783097,1.555372543,-0.533121712,0.353722641,-0.659918956,-0.736508275,-0.891872794,-0.918537119
01-08-2016,0.444241868,-0.680547063,-0.520569929,0.682050588,1.656112627,0.391518477,0.246554568,-0.099384827,1.404985495,-0.835021448,-0.51599955,-0.045474471,2.12457663,-0.184274462,0.441654517,0.800303188,1.231597622,0.962754746,-0.703380815,-0.857826233,-0.294733346,1.38623291,0.774965792,-0.565978675,-0.394929642,-0.905046015,2.035892477,0.369586807,0.233304915,-0.333262484,-0.208963854,-0.775413015,-0.949944338,-0.903251225,-0.55648266,-0.611706294,-0.910799587,0.18513922,-0.874094071,0.411451282,0.423529174,-0.93858379,-0.586318083,-0.059680928,-0.108685051,-0.957422134,1.691275688,-0.565393498,0.418022352,-0.670772388,-0.772387527,-0.929668776,-0.957176902
01-09-2016,0.514994112,-0.672610539,-0.527354143,0.649214653,1.580481353,0.481726889,0.257749755,-0.079990062,1.413056979,-0.830920748,-0.508607855,-0.031495896,2.165622407,-0.17111725,0.451949831,0.826847297,1.194604558,0.980492474,-0.698493245,-0.853744475,-0.29258214,1.500027326,0.863386239,-0.553416283,-0.387706903,-0.897937075,1.858409137,0.399187786,0.238676102,-0.323124271,-0.20221993,-0.765557105,-0.944266656,-0.897268737,-0.548171009,-0.60340504,-0.905143919,0.204238545,-0.868750471,0.26441158,0.326014858,-0.937269753,-0.569890259,-0.057490362,-0.069622238,-0.951808739,1.583299863,-0.555065423,0.307626632,-0.676121928,-0.757236599,-0.923786626,-0.951651437
01-10-2016,0.566250446,-0.671531999,-0.490844491,0.689215877,1.669464628,0.472558106,0.262350658,-0.067684238,1.414325567,-0.845700642,-0.5095467,-0.024209872,2.20366026,-0.156989491,0.444628123,0.794359837,0.926321581,0.991782471,-0.700598967,-0.851355759,-0.283078394,1.465000159,0.829816101,-0.55321302,-0.382953281,-0.898405564,1.829266586,0.416931608,0.236495383,-0.318452772,-0.20858351,-0.764131967,-0.945477849,-0.898102072,-0.550697221,-0.602412988,-0.90169837,0.216813904,-0.871648751,0.267866207,0.312824002,-0.938975321,-0.569801105,-0.097007187,-0.072529028,-0.953011166,1.644631849,-0.554138313,0.362486491,-0.665968359,-0.744798476,-0.923670822,-0.952843315
01-11-2016,0.539898,-0.685927609,-0.480973242,0.71360505,1.727463224,0.512809204,0.249891217,-0.069786933,1.413636762,-0.824187828,-0.525655271,-0.030282403,2.223803568,-0.172544211,0.45279946,0.830910981,1.094989713,0.987733704,-0.71675332,-0.866198091,-0.309982598,1.483865957,0.79782499,-0.568348098,-0.39669022,-0.912150611,1.900333289,0.421336296,0.21970618,-0.334834278,-0.233496601,-0.77379042,-0.961071534,-0.913191255,-0.563034571,-0.615606261,-0.91690553,0.211566799,-0.887451027,0.224591368,0.409079664,-0.949558818,-0.582216234,-0.122983879,-0.0964923,-0.968634746,1.669606824,-0.566794426,0.33679198,-0.67654268,-0.76127844,-0.93905426,-0.96846128
01-12-2016,0.512935958,-0.714513062,-0.532843679,0.804548423,1.724001185,0.393700792,0.224700196,-0.089235244,1.402379857,-0.886556075,-0.555822043,-0.050981045,2.234091417,-0.196740594,0.450221543,0.687743674,2.169957227,0.968208898,-0.748001774,-0.896096035,-0.331881844,1.519974209,0.654457557,-0.598429479,-0.423788889,-0.941308497,1.927320286,0.41023978,0.188041665,-0.360181998,-0.258926075,-0.801654729,-0.991625727,-0.943466625,-0.589434897,-0.644603467,-0.947073397,0.189548414,-0.918065798,0.211711322,0.519380514,-0.98124107,-0.612160557,-0.048453624,-0.178612632,-0.999219735,1.688047354,-0.595529234,0.433366573,-0.715434081,-0.793560065,-0.969302026,-0.99905258
01-01-2017,0.606556669,-0.663054446,-0.479860543,0.611028774,1.777739428,0.460703759,0.280167382,-0.031143872,1.46848194,-0.856344453,-0.497141098,-7.10516E-05,2.306358662,-0.139060714,0.511644128,0.95745844,0.192099482,1.154481959,-0.692504773,-0.840581793,-0.259412958,1.556326336,0.827945303,-0.544624922,-0.398007047,-0.884971982,1.723743169,0.476732747,0.245884639,-0.313452773,-0.205086928,-0.729782402,-0.937761612,-0.889977571,-0.537356472,-0.586772996,-0.887953428,0.248226072,-0.864651132,0.242875148,0.311837909,-0.931835889,-0.553724045,-0.145894186,-0.173471648,-0.945775286,1.564643736,-0.538453423,0.328110989,-0.671782031,-0.737742964,-0.914980801,-0.945586718
01-02-2017,0.645503286,-0.633871623,-0.464030615,0.551239238,1.593369197,0.436465906,0.302229244,0.000277132,1.508995787,-0.828174758,-0.464810495,0.035502859,2.351901246,-0.107484619,0.499593115,0.751250991,0.251176966,1.195826997,-0.665485225,-0.813702579,-0.372071081,1.418531606,0.672661309,-0.517001355,-0.366972151,-0.857188637,1.670378273,0.515645224,0.276914736,-0.283115253,-0.175697519,-0.69975497,-0.91055074,-0.86278045,-0.507155846,-0.555567867,-0.860828518,0.282931773,-0.837739934,0.184498433,0.317025076,-0.903009376,-0.52391322,-0.124278022,-0.136206193,-0.918916646,1.405909096,-0.509332158,0.291756531,-0.663187211,-0.709183288,-0.887783917,-0.918706403
01-03-2017,0.612523587,-0.70239418,-0.5169796,0.764793322,1.820720051,0.497302535,0.228975759,-0.067189385,1.429011021,-0.896747452,-0.530299451,-0.030245368,2.285151366,-0.174276515,0.446554928,0.90182026,0.817196743,1.14087864,-0.736415492,-0.8846491,-0.376600582,1.585514512,0.788284007,-0.587332981,-0.436195497,-0.927700379,2.222233104,0.458298251,0.211063959,-0.344708969,-0.248728854,-0.775413167,-0.981279457,-0.933280616,-0.576028667,-0.622420383,-0.931011394,0.217145212,-0.908767543,0.279168543,0.445681647,-0.976060095,-0.591873482,-0.070400112,-0.178095465,-0.989916224,1.599600655,-0.57743293,0.236066525,-0.680073116,-0.777414283,-0.958308319,-0.989661794
01-04-2017,0.647777506,-0.665144883,-0.498450478,0.554630066,1.57164906,0.369286317,0.268281005,-0.025830884,1.481722248,-0.866491739,-0.493135773,0.010023279,2.352947386,-0.135939718,0.472951408,0.819657928,0.905109429,1.201958984,-0.700996428,-0.836246183,-0.367499136,1.423601363,0.824837652,-0.551208495,-0.396778043,-0.891916499,1.486226097,0.500792674,0.250983971,-0.297364619,-0.214431755,-0.732803202,-0.945868557,-0.897415003,-0.539124239,-0.582345668,-0.894966805,0.268183702,-0.872846036,0.168794052,0.426038946,-0.936473181,-0.549964887,-0.052211367,-0.159600552,-0.954516788,1.466102836,-0.539569361,0.475387355,-0.683469788,-0.742525158,-0.922036193,-0.954288635
01-05-2017,0.632964115,-0.737209156,-0.51565414,0.749749772,1.929088577,0.477646816,0.20334337,-0.095224757,1.409931798,-0.941406131,-0.549553503,-0.052839497,2.310343271,-0.199853213,0.482018935,0.943947243,1.088686566,1.1454032,-0.770348671,-0.908243546,-0.43316267,1.563389507,1.007469465,-0.616601373,-0.463005307,-0.960434027,2.430884917,0.437190032,0.186916173,-0.358212738,-0.282704983,-0.800572104,-1.015102871,-0.966216925,-0.605316712,-0.648063625,-0.963617722,0.20805711,-0.941928476,0.214842816,0.478913697,-1.006708499,-0.609234496,-0.131297124,-0.227114607,-1.023755148,1.639522838,-0.605481795,0.4152795,-0.732272589,-0.804141116,-0.990520403,-1.023546939
01-06-2017,0.659219397,-0.727480064,-0.56560522,0.66277854,1.947591265,0.537274051,0.218127998,-0.078698783,1.44356944,-0.919470215,-0.521843693,-0.039116273,2.336276417,-0.187947388,0.482480171,0.883368643,1.148411618,1.166281896,-0.761508539,-0.896730724,-0.42060706,1.62275458,0.808748906,-0.603489265,-0.450559937,-0.95224704,2.309082336,0.449694245,0.200936785,-0.347011349,-0.274196382,-0.793290841,-1.006075134,-0.956969785,-0.592199417,-0.635564637,-0.955958768,0.230028753,-0.933313315,0.21020877,0.383218771,-1.001413094,-0.589451671,-0.10242733,-0.214230426,-1.014812379,1.596989099,-0.593343251,0.332987994,-0.721342207,-0.791734685,-0.981618509,-1.014584669
01-07-2017,0.674115502,-0.71818789,-0.507823999,0.699945742,1.684276662,0.485051622,0.228850188,-0.051702479,1.464653719,-0.910480452,-0.492737003,-0.026181736,2.36490755,-0.175618538,0.535146749,0.925731062,1.137389802,1.186709798,-0.752504942,-0.886262619,-0.397656385,1.538710746,0.902095329,-0.590836179,-0.439676147,-0.941615497,1.962963445,0.462813364,0.213621749,-0.313094199,-0.263143888,-0.783163065,-0.997433727,-0.947441717,-0.581777789,-0.624228862,-0.946629555,0.252126757,-0.919672995,0.161977743,0.419720029,-0.99529289,-0.578061292,-0.132949618,-0.226654252,-1.006194798,1.571432206,-0.581923817,0.366731446,-0.699935447,-0.777772038,-0.972559474,-1.005952719
01-08-2017,0.652492042,-0.730099531,-0.555562646,0.721241222,1.960378907,0.342000967,0.209653963,-0.063794372,1.417639589,-0.928047267,-0.517745301,-0.044683186,2.365070666,-0.193038907,0.501840992,0.80958337,1.2858922,1.178753617,-0.773539356,-0.898266135,-0.403320283,1.554101155,0.907975611,-0.609077589,-0.45591216,-0.96233303,2.210735052,0.445141249,0.19488088,-0.328008633,-0.2868046,-0.80423415,-1.018171343,-0.967536214,-0.598254114,-0.641649116,-0.966628809,0.2438497,-0.940274584,0.235714977,0.460140308,-1.007029998,-0.596308362,-0.057128585,-0.270907493,-1.026922525,1.63073667,-0.601302341,0.415185997,-0.71210481,-0.791701486,-0.992911147,-1.026633585
